date,val
20230515,71.07
20230516,70.85
20230517,72.78
20230518,71.82
20230519,71.57
20230522,71.81
20230523,72.87
20230524,74.37
20230525,71.68
20230526,72.35
20230530,69.45
20230531,68.11
20230601,70.09
20230602,71.76
20230605,72.14
20230606,71.71
20230607,72.52
20230608,71.28
20230609,70.16
20230612,67.08
20230613,69.39
20230614,68.22
20230615,70.61
20230616,71.81
20230620,70.94
20230621,72.55
20230622,69.22
20230623,68.91
20230626,69.09
20230627,67.68
20230628,69.54
20230629,69.85
20230630,70.66
20230703,69.71
20230705,71.78
20230706,71.76
20230707,73.91
20230710,73.05
20230711,74.87
20230712,75.77
20230713,76.86
20230714,75.44
20230717,74.17
20230718,75.76
20230719,75.4
20230720,75.65
20230721,77.06
20230724,78.81
20230725,79.76
20230726,79.11
20230727,80.17
20230728,80.55
20230731,81.8
20230801,81.37
20230802,79.5
20230803,81.56
20230804,82.76
20230807,81.94
20230808,82.94
20230809,84.35
20230810,82.81
20230811,83.17
20230814,82.5
20230815,81.06
20230816,79.4
20230817,80.43
20230818,81.25
20230821,80.71
20230822,80.25
20230823,78.91
20230824,79.52
20230825,80.47
20230828,80.65
20230829,81.14
20230830,81.64
20230831,83.55
20230901,85.52
20230905,86.74
20230906,87.55
20230907,86.87
20230908,87.51
20230911,87.3
20230912,88.87
20230913,88.59
20230914,90.13
20230915,90.83
20230918,91.47
20230919,91.16
20230920,89.2
20230921,89.56
20230922,90
20230925,89.68
20230926,91.43
20230927,93.67
20230928,91.65
20230929,90.77
20231002,88.81
20231003,89.26
20231004,84.32
20231005,82.3
20231006,82.83
20231010,85.89
20231011,83.7
20231012,82.87
20231013,87.67
20231016,86.65
20231017,86.66
20231018,88.35
20231019,89.35
20231020,89.12
20231023,85.49
20231024,84.58
20231025,86.07
20231026,83.8
20231027,86.04
20231030,83.03
20231031,81.64
20231101,81.05
20231102,83.04
20231103,81.19
20231106,81.54
20231107,77.96
20231108,75.85
20231109,76.34
20231113,78.86
20231114,78.9
20231115,77.15
20231116,73.5
20231117,76.47
20231120,78.1
20231121,78.35
20231122,76.8
20231124,74.83
20231127,74.46
20231128,76.09
20231129,77.56
20231130,75.66
20231201,73.7
20231204,72.73
20231205,71.95
20231206,68.98
20231207,69
20231208,70.87
20231211,70.95
20231212,68.27
20231213,69.09
20231214,71.21
20231215,71.05
20231218,72.16
20231219,73.23
20231220,73.87
20231221,73.59
20231222,73.29
20231226,75.84
20231227,74.31
20231228,72.02
20231229,71.89
20240102,70.62
20240103,72.97
20240104,72.38
20240105,74
20240108,71.06
20240109,72.43
20240110,71.57
20240111,72.15
20240112,72.94
20240116,72.63
20240117,72.79
20240118,74.32
20240119,73.69
20240122,75.26
20240123,74.72
20240124,75.48
20240125,77.91
20240126,78.45
20240129,77.25
20240130,78.3
20240131,76.28
20240201,74.36
20240202,72.72
20240205,73.21
20240206,73.83
20240207,74.26
20240208,76.67
20240209,77.26
20240212,77.34
