date,price
20221908,"98.01"
20221808,"96.04"
20221708,"95.80"
20221608,"92.08"
20221508,"90.78"
20221208,"88.87"
20221108,"87.55"
20221008,"85.92"
20220908,"85.93"
20220808,"83.81"
20220508,"84.76"
20220408,"84.19"
20220308,"83.99"
20220208,"81.95"
20220108,"80.58"
20222907,"78.55"
20222807,"78.96"
20222707,"76.14"
20222607,"76.68"
20222507,"76.37"
20222207,"76.30"
20222107,"78.11"
20222007,"78.84"
20221907,"83.65"
20221807,"84.94"
20221507,"85.38"
20221407,"83.97"
20221307,"83.86"
20221207,"85.65"
20221107,"84.36"
20220807,"82.79"
20220707,"84.92"
20220607,"83.22"
20220507,"83.19"
20220407,"84.55"
20220107,"85.58"
20223006,"90.16"
20222906,"88.35"
20222806,"87.40"
20222706,"85.05"
20222406,"83.43"
20222306,"84.13"
20222206,"81.88"
20222106,"84.73"
20222006,"84.00"
20221706,"82.37"
20221606,"83.00"
20221506,"86.20"
20221406,"84.15"
20221306,"81.54"
20221006,"81.86"
20220906,"81.01"
20220806,"79.81"
20220706,"81.31"
20220606,"81.43"
20220306,"86.87"
20220206,"86.34"
20220106,"86.08"
20223105,"84.02"
20223005,"83.97"
20222705,"84.20"
20222605,"84.76"
20222505,"81.40"
20222405,"81.32"
20222305,"78.15"
20222005,"80.39"
20221905,"83.18"
20221805,"84.64"
20221705,"91.72"
20221605,"89.56"
20221305,"88.48"
20221205,"88.26"
20221105,"88.83"
20221005,"87.34"
20220905,"87.02"
20220605,"91.54"
20220505,"88.91"
20220405,"88.31"
20220305,"88.19"
20220205,"83.04"
20222904,"84.45"
20222804,"82.68"
20222704,"81.01"
20222604,"82.71"
20222504,"83.46"
20222204,"88.99"
20222104,"86.44"
20222004,"87.82"
20221904,"80.20"
20221404,"79.97"
20221304,"77.44"
20221204,"79.01"
20221104,"77.95"
20220804,"80.09"
20220704,"79.94"
20220604,"77.18"
20220504,"78.05"
20220404,"78.50"
20220104,"78.49"
20223103,"76.48"
20223003,"78.31"
20222903,"81.70"
20222803,"80.81"
20222503,"78.60"
20222403,"78.24"
20222303,"76.60"
20222203,"80.67"
20222103,"78.39"
20221803,"78.89"
20221703,"79.89"
20221603,"78.16"
20221503,"77.43"
20221403,"78.28"
20221103,"76.76"
20221003,"76.41"
20220903,"73.18"
20220803,"68.51"
20220703,"58.30"
20220403,"65.10"
20220303,"67.35"
20220203,"68.49"
20220103,"68.85"
20222802,"82.21"
20222502,"88.14"
20222402,"87.03"
20222302,"95.07"
20222202,"89.77"
20222102,"89.68"
20221802,"89.47"
20221702,"86.44"
20221602,"89.86"
20221502,"91.14"
20221402,"91.76"
20221102,"92.87"
20221002,"90.78"
20220902,"90.79"
20220802,"96.93"
20220702,"96.70"
20220402,"96.45"
20220302,"94.81"
20220202,"94.21"
20220102,"89.52"
20223101,"89.24"
20222801,"89.22"
20222701,"89.76"
20222601,"88.66"
20222501,"87.45"
20222401,"84.02"
20222101,"84.47"
20222001,"85.59"
20221901,"82.09"
20221801,"82.67"
20221701,"80.58"
20221401,"82.08"
20221301,"80.56"
20221201,"80.01"
20221101,"81.30"
20221001,"80.09"
20220701,"85.42"
20220601,"86.74"
20220501,"87.58"
20220401,"84.91"
20220301,"84.01"
20213112,"80.65"
20213012,"80.16"
20212912,"80.36"
20212812,"79.29"
20212712,"76.92"
20212412,"76.31"
20212312,"74.46"
20212212,"76.83"
20212112,"80.94"
20212012,"80.09"
20211712,"74.02"
20211612,"85.71"
20211512,"81.19"
20211412,"80.12"
20211312,"82.72"
20211012,"84.37"
20210912,"80.88"
20210812,"89.41"
20210712,"85.34"
20210612,"81.65"
20210312,"78.64"
20210212,"80.25"
20210112,"77.20"
20213011,"75.73"
20212911,"74.54"
20212611,"73.12"
20212511,"74.79"
20212411,"73.23"
20212311,"69.49"
20212211,"70.22"
20211911,"69.65"
20211811,"69.38"
20211711,"67.45"
20211611,"67.83"
20211511,"66.22"
20211211,"63.58"
20211111,"64.02"
20211011,"63.48"
20210911,"60.75"
20210811,"60.96"
20210511,"59.73"
20210411,"60.18"
20210311,"60.15"
20210211,"59.79"
20210111,"57.29"
20212910,"59.08"
20212810,"58.94"
20212710,"60.27"
20212610,"60.16"
20212510,"59.35"
20212210,"58.64"
20212110,"58.37"
20212010,"58.14"
20211910,"54.92"
20211810,"58.92"
20211510,"59.79"
20211410,"61.79"
20211310,"59.45"
20211210,"59.34"
20211110,"59.58"
20210810,"58.76"
20210710,"60.81"
20210610,"59.58"
20210510,"65.16"
20210410,"63.82"
20210110,"62.45"
20213009,"62.16"
20212909,"63.28"
20212809,"62.29"
20212709,"64.72"
20212409,"63.29"
20212309,"60.89"
20212209,"60.94"
20212109,"60.50"
20212009,"61.02"
20211709,"59.82"
20211609,"59.63"
20211509,"60.18"
20211409,"60.16"
20211309,"61.37"
20211009,"61.22"
20210909,"63.04"
20210809,"62.74"
20210709,"62.28"
20210609,"62.61"
20210309,"61.63"
20210209,"61.83"
20210109,"60.42"
20213108,"61.07"
20213008,"61.08"
20212708,"59.32"
20212608,"57.19"
20212508,"56.87"
20212408,"56.97"
20212308,"55.67"
20212008,"54.72"
20211908,"53.84"
20211808,"57.45"
20211708,"57.56"
20211608,"58.52"
20211308,"55.74"
20211208,"56.63"
20211108,"58.14"
20211008,"57.77"
20210908,"56.98"
20210608,"57.02"
20210508,"56.34"
20210408,"55.82"
20210308,"54.55"
20210208,"54.79"
20213007,"53.69"
20212907,"54.41"
20212807,"54.20"
20212707,"53.28"
20212607,"53.57"
20212307,"51.26"
20212207,"51.16"
20212107,"52.51"
20212007,"51.59"
20211907,"52.81"
20211607,"53.28"
20211507,"53.37"
20211407,"53.78"
20211307,"53.26"
20211207,"52.12"
20210907,"54.67"
20210807,"52.77"
20210707,"53.03"
20210607,"54.44"
20210507,"58.28"
20210207,"57.76"
20210107,"58.06"
20213006,"56.78"
20212906,"56.04"
20212806,"55.90"
20212506,"55.48"
20212406,"55.49"
20212306,"55.03"
20212206,"53.76"
20212106,"52.78"
20211806,"52.26"
20211706,"51.28"
20211606,"51.72"
20211506,"51.76"
20211406,"53.29"
20211106,"53.07"
20211006,"54.15"
20210906,"53.90"
20210806,"52.58"
20210706,"51.97"
20210406,"50.47"
20210306,"50.73"
20210206,"51.94"
20210106,"52.97"
20213105,"52.24"
20212805,"51.58"
20212705,"52.39"
20212605,"54.22"
20212505,"53.83"
20212405,"53.41"
20212105,"52.43"
20212005,"53.41"
20211905,"50.35"
20211805,"53.74"
20211705,"56.97"
20211405,"57.23"
20211305,"55.04"
20211205,"55.85"
20211105,"53.55"
20211005,"52.72"
20210705,"50.93"
20210605,"50.41"
20210505,"49.91"
20210405,"49.06"
20210305,"49.90"
20213004,"49.31"
20212904,"48.51"
20212804,"48.28"
20212704,"47.78"
20212604,"47.67"
20212304,"47.38"
20212204,"47.51"
20212104,"46.32"
20212004,"45.29"
20211904,"44.74"
20211604,"44.80"
20211504,"44.55"
20211404,"44.20"
20211304,"44.24"
20211204,"44.86"
20210904,"44.03"
20210804,"43.85"
20210704,"44.23"
20210604,"44.60"
20210504,"42.81"
20210104,"42.81"
20213103,"42.89"
20213003,"42.40"
20212903,"42.20"
20212603,"42.09"
20212503,"40.71"
20212403,"41.96"
20212303,"41.78"
20212203,"43.18"
20211903,"42.31"
20211803,"42.74"
20211703,"43.34"
20211603,"41.96"
20211503,"42.73"
20211203,"43.19"
20211103,"42.27"
20211003,"41.87"
20210903,"40.98"
20210803,"39.47"
20210503,"39.36"
20210403,"38.51"
20210303,"37.82"
20210203,"38.69"
20210103,"37.45"
20212602,"37.60"
20212502,"38.57"
20212402,"39.45"
20212302,"38.97"
20212202,"38.26"
20211902,"37.70"
20211802,"38.61"
20211702,"38.40"
20211602,"39.13"
20211502,"39.81"
20211202,"40.28"
20211102,"39.00"
20211002,"39.56"
20210902,"38.49"
20210802,"38.84"
20210502,"38.43"
20210402,"37.49"
20210302,"37.65"
20210202,"35.19"
20210102,"33.08"
20212901,"33.18"
20212801,"34.17"
20212701,"33.51"
20212601,"33.56"
20212501,"33.39"
20212201,"34.45"
20212101,"34.32"
20212001,"33.12"
20211901,"33.30"
20211801,"31.84"
20211501,"31.96"
20211401,"33.76"
20211301,"33.88"
20211201,"34.88"
20211101,"34.76"
20210801,"35.14"
20210701,"34.97"
20210601,"33.83"
20210501,"33.15"
20210401,"33.89"
20203112,"32.94"
20203012,"32.42"
20202912,"33.25"
20202812,"33.66"
20202412,"32.41"
20202312,"32.15"
20202212,"31.39"
20202112,"31.14"
20201812,"31.36"
20201712,"32.21"
20201612,"32.03"
20201512,"32.43"
20201412,"31.27"
20201112,"30.98"
20201012,"31.36"
20200912,"30.16"
20200812,"30.02"
20200712,"30.07"
20200412,"30.57"
20200312,"29.46"
20200212,"30.01"
20200112,"29.33"
20203011,"29.60"
20202711,"28.59"
20202611,"28.54"
20202511,"28.04"
20202411,"28.04"
20202311,"27.67"
20202011,"27.15"
20201911,"26.75"
20201811,"27.59"
20201711,"27.04"
20201611,"27.79"
20201311,"26.68"
20201211,"26.32"
20201111,"26.52"
20201011,"26.64"
20200911,"26.97"
20200611,"25.85"
20200511,"26.43"
20200411,"25.57"
20200311,"24.86"
20200211,"24.15"
20203010,"24.19"
20202910,"24.15"
20202810,"23.52"
20202710,"24.55"
20202610,"24.35"
20202310,"25.98"
20202210,"24.68"
20202110,"24.06"
20202010,"24.92"
20201910,"25.49"
20201610,"25.40"
20201510,"25.48"
20201410,"26.28"
20201310,"25.74"
20201210,"26.40"
20200910,"26.24"
20200810,"26.88"
20200710,"27.44"
20200610,"27.34"
20200510,"27.49"
20200210,"27.59"
20200110,"27.07"
20203009,"27.50"
20202909,"27.36"
20202809,"28.28"
20202509,"26.75"
20202409,"27.40"
20202309,"27.12"
20202209,"28.47"
20202109,"27.05"
20201809,"28.68"
20201709,"29.13"
20201609,"30.71"
20201509,"30.53"
20201409,"31.20"
20201109,"28.99"
20201009,"29.15"
20200909,"27.94"
20200809,"27.53"
20200709,"27.81"
20200409,"28.13"
20200309,"29.53"
20200209,"29.06"
20200109,"28.61"
20203108,"29.53"
20202808,"30.38"
20202708,"29.23"
20202608,"29.48"
20202508,"29.46"
20202408,"28.32"
20202108,"26.48"
20202008,"26.75"
20201908,"27.08"
20201808,"27.41"
20201708,"27.17"
20201408,"26.36"
20201308,"26.30"
20201208,"26.87"
20201108,"27.08"
20201008,"27.60"
20200708,"27.32"
20200608,"27.30"
20200508,"27.69"
20200408,"27.75"
20200308,"27.08"
20203107,"27.22"
20203007,"26.48"
20202907,"27.13"
20202807,"26.67"
20202707,"25.91"
20202407,"27.27"
20202307,"28.23"
20202207,"27.53"
20202107,"27.51"
20202007,"27.10"
20201707,"28.76"
20201607,"27.67"
20201507,"29.70"
20201407,"30.46"
20201307,"30.14"
20201007,"29.78"
20200907,"29.37"
20200807,"30.06"
20200707,"30.12"
20200607,"30.43"
20200307,"28.64"
20200207,"28.09"
20200107,"28.42"
20203006,"27.68"
20202906,"27.35"
20202606,"25.46"
20202506,"25.92"
20202406,"26.14"
20202306,"26.15"
20202206,"25.28"
20201906,"24.92"
20201806,"25.23"
20201706,"23.52"
20201606,"23.55"
20201506,"22.93"
20201206,"22.78"
20201106,"23.04"
20201006,"23.68"
20200906,"23.24"
20200806,"23.48"
20200506,"24.02"
20200406,"22.98"
20200306,"22.85"
20200206,"22.84"
20200106,"21.75"
20202905,"22.18"
20202805,"22.04"
20202705,"22.13"
20202605,"22.40"
20202505,"22.38"
20202205,"22.19"
20202105,"21.97"
20202005,"22.06"
20201905,"20.76"
20201805,"21.14"
20201505,"19.96"
20201405,"19.62"
20201305,"19.46"
20201205,"19.31"
20201105,"19.86"
20200805,"20.17"
20200705,"20.35"
20200605,"19.83"
20200505,"19.92"
20200405,"20.18"
20200105,"19.80"
20203004,"20.39"
20202904,"21.00"
20202804,"21.04"
20202704,"21.09"
20202404,"21.53"
20202304,"21.82"
20202204,"21.45"
20202104,"20.64"
20202004,"22.15"
20201704,"22.48"
20201604,"21.69"
20201504,"20.02"
20201404,"20.57"
20200904,"21.86"
20200804,"21.93"
20200704,"21.30"
20200604,"21.17"
20200304,"18.73"
20200204,"18.82"
20200104,"17.84"
20203103,"18.42"
20203003,"17.78"
20202703,"17.11"
20202603,"18.06"
20202503,"18.21"
20202403,"17.50"
20202303,"16.28"
20202003,"16.84"
20201903,"17.19"
20201803,"16.12"
20201703,"19.05"
20201603,"19.98"
20201303,"22.38"
20201203,"22.96"
20201103,"24.34"
20201003,"24.50"
20200903,"23.68"
20200603,"23.83"
20200503,"24.21"
20200403,"24.24"
20200303,"23.77"
20200203,"23.93"
20202802,"24.02"
20202702,"24.02"
20202602,"24.69"
20202502,"24.62"
20202402,"25.00"
20202102,"26.03"
20202002,"26.06"
20201902,"26.13"
20201802,"25.56"
20201702,"25.47"
20201402,"24.71"
20201302,"24.82"
20201202,"24.31"
20201102,"23.74"
20201002,"23.58"
20200702,"23.75"
20200602,"23.98"
20200502,"24.19"
20200402,"23.78"
20200302,"23.63"
20203101,"24.31"
20203001,"24.17"
20202901,"24.43"
20202801,"25.10"
20202701,"25.05"
20202401,"24.87"
20202301,"25.21"
20202201,"25.55"
20202101,"25.45"
20202001,"25.70"
20201701,"25.97"
20201601,"25.37"
20201501,"25.04"
20201401,"24.37"
20201301,"24.66"
20201001,"24.73"
20200901,"25.20"
20200801,"24.60"
20200701,"25.06"
20200601,"24.74"
20200301,"25.50"
20200201,"24.90"
